Gender_x,Age,Profession,Work_Experience,Family_Size,Spending_Score,Cost_of_the_Product,Prior_purchases,Discount_offered,Ever_Married,Graduated,Var_1
Male,22,Healthcare,1.0,4.0,Low,177,3,44,No,No,Cat_4
Female,38,Engineer,0.0,3.0,Average,216,2,59,Yes,Yes,Cat_4
Female,67,Engineer,1.0,1.0,Low,183,4,48,Yes,Yes,Cat_6
Male,67,Lawyer,0.0,2.0,High,176,4,10,Yes,Yes,Cat_6
Female,40,Entertainment,0.0,6.0,High,184,3,46,Yes,Yes,Cat_6
Male,56,Artist,0.0,2.0,Average,162,3,12,Yes,No,Cat_6
Male,32,Healthcare,1.0,3.0,Low,250,3,3,No,Yes,Cat_6
Female,33,Healthcare,1.0,3.0,Low,233,2,48,No,Yes,Cat_6
Female,61,Engineer,0.0,3.0,Low,150,3,11,Yes,Yes,Cat_7
Female,55,Artist,1.0,4.0,Average,164,3,29,Yes,Yes,Cat_6
Female,26,Engineer,1.0,3.0,Low,189,2,12,No,Yes,Cat_6
Male,19,Healthcare,4.0,4.0,Low,232,3,32,No,No,Cat_4
Female,19,Executive,0.0,0.0,Low,198,3,1,No,No,Cat_3
Male,70,Lawyer,0.0,1.0,Low,275,3,29,Yes,No,Cat_6
Female,58,Doctor,0.0,1.0,Low,152,3,43,Yes,No,Cat_3
Female,41,Healthcare,1.0,2.0,Low,227,3,45,No,No,Cat_1
Female,32,Homemaker,9.0,5.0,Low,143,2,6,No,No,Cat_3
Male,31,Healthcare,1.0,6.0,Low,227,3,36,No,No,Cat_6
Male,58,Entertainment,1.0,4.0,Average,239,3,18,Yes,Yes,Cat_6
Female,79,Artist,0.0,1.0,High,145,3,45,Yes,Yes,Cat_6
Male,49,Homemaker,12.0,1.0,Low,161,2,38,Yes,Yes,Cat_3
Female,18,Healthcare,3.0,4.0,Low,232,4,51,No,No,Cat_6
Male,33,Artist,13.0,2.0,Low,156,2,2,Yes,Yes,Cat_3
Female,36,Artist,5.0,2.0,Low,211,3,12,No,Yes,Cat_6
Female,58,Executive,1.0,3.0,Average,251,2,28,,No,Cat_3
Male,56,Artist,1.0,3.0,Average,225,4,29,Yes,No,Cat_6
Male,31,Healthcare,9.0,8.0,Low,172,3,24,No,No,Cat_4
Male,49,Artist,1.0,3.0,Average,162,3,31,Yes,Yes,Cat_6
Male,35,Artist,0.0,1.0,Low,234,4,44,No,Yes,Cat_6
Female,35,Artist,5.0,4.0,Low,183,2,36,No,No,Cat_6
Female,45,Artist,0.0,3.0,Low,266,2,38,Yes,Yes,Cat_6
Female,42,Doctor,1.0,2.0,Low,257,2,61,Yes,No,Cat_4
Male,19,Healthcare,1.0,3.0,Low,223,3,22,No,No,Cat_2
Male,26,Homemaker,9.0,0.0,Low,234,3,4,No,No,Cat_6
Female,83,Lawyer,1.0,2.0,High,227,4,22,Yes,No,Cat_6
Female,27,Healthcare,3.0,4.0,Low,149,3,44,No,Yes,Cat_1
Male,32,Doctor,5.0,1.0,Low,137,4,62,No,No,Cat_4
Female,28,Healthcare,1.0,5.0,Average,181,6,16,Yes,No,Cat_3
Female,28,Artist,8.0,2.0,Low,215,4,56,Yes,Yes,Cat_6
Male,56,Artist,0.0,2.0,Average,269,5,45,Yes,Yes,Cat_6
Female,47,Artist,4.0,1.0,Low,227,2,15,No,Yes,Cat_6
Female,22,Healthcare,0.0,2.0,Low,139,4,61,No,No,Cat_6
Female,27,Artist,14.0,3.0,Low,137,2,38,No,Yes,Cat_6
Female,49,Artist,1.0,2.0,Low,174,2,44,Yes,Yes,
Male,40,Engineer,8.0,1.0,Low,151,2,29,Yes,No,Cat_6
Female,79,Lawyer,0.0,2.0,High,210,3,9,Yes,No,Cat_6
Male,41,Artist,0.0,4.0,Average,169,4,32,Yes,Yes,Cat_4
Female,29,Healthcare,0.0,1.0,Low,160,2,32,No,Yes,Cat_7
Male,19,Healthcare,0.0,4.0,Low,190,2,9,No,No,Cat_6
Female,45,Engineer,1.0,1.0,Low,216,3,40,No,Yes,Cat_6
Female,61,Artist,1.0,2.0,Average,183,3,37,Yes,No,Cat_2
Female,36,Artist,1.0,2.0,Average,141,3,22,Yes,Yes,Cat_6
Male,40,Artist,1.0,1.0,Low,165,3,44,Yes,Yes,Cat_3
Female,57,Entertainment,0.0,2.0,Average,170,3,41,Yes,Yes,Cat_6
Male,76,Marketing,1.0,1.0,Low,203,3,12,Yes,No,Cat_4
Male,32,Artist,14.0,2.0,Average,246,5,46,Yes,Yes,Cat_6
