Laptop,Brand,Price,Profession,Normalized
"ASUS ExpertBook B1 B1502CBA-EJ0436X Intel Core i5-1235U/8GB/512GB SSD/15.6""",Asus,1009.0,Entertainment,0.11626150095979233
"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/15.6""",Alurin,299.0,"Artist, Executive",0.014094701428320635
"ASUS ExpertBook B1 B1502CBA-EJ0424X Intel Core i3-1215U/8GB/256GB SSD/15.6""",Asus,789.0,"Homemaker, Marketing",0.08460418279511096
"MSI Katana GF66 12UC-082XES Intel Core i7-12700H/16GB/1TB SSD/RTX3050/15.6""",MSI,1199.0,Homemaker,0.14360191210201714
"HP 15S-FQ5085NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",HP,669.01,"Artist, Homemaker",0.06733799367429225
"MSI Crosshair 17 C12VF-264XES Intel Core i7-12650H/32GB/1TB SSD/RTX 4060/17.3""",MSI,1699.0,Homemaker,0.215550362476293
"Lenovo Thinkpad E14 Gen 4 AMD Ryzen 5 5625U/8GB/256GB SSD/14""",Lenovo,909.0,Marketing,0.10187181088493717
"ASUS VivoBook 15 F515JA-EJ2882W Intel Core i7-1065G7/8GB/512GB SSD/15.6""",Asus,809.01,"Lawyer, Homemaker",0.08748355977908948
"Medion Akoya E15415 Intel Core i5-10210U/8GB/256GB SSD/15.6""",Medion,519.0,"Healthcare, Artist",0.04575201959300201
"HP Victus 16-d1038ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/16.1""",HP,1149.0,"Entertainment, Homemaker",0.13640706706458958
"Lenovo V15 IGL Intel Celeron N4020/8GB/256 GB SSD/15.6""",Lenovo,349.0,Homemaker,0.021289546465748217
"MSI Thin GF63 12VE-021XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4050/15.6""",MSI,1399.0,"Marketing, Doctor",0.1723812922517275
"ASUS ROG Strix G15 G513RC-HN088 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/15.6""",Asus,1199.0,Marketing,0.14360191210201714
"Lenovo V15 G3 ABA AMD Ryzen 5 5625U/16GB/512GB SSD/15.6""",Lenovo,476.99,"Executive, Lawyer",0.039706910792555346
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8GB/256GB SSD/15.6""",Lenovo,391.0,"Lawyer, Homemaker",0.02733321629718739
"HP 15S-FQ5013NS Intel Core i5-1235U/8GB/512GB SSD/15.6""",HP,699.0,"Entertainment, Healthcare",0.0716534617277413
"Lenovo IdeaPad 3 15IAU7 Intel Core i5-1235U/16GB/512GB SSD/15.6""",Lenovo,799.0,"Marketing, Entertainment",0.08604315180259649
"HP 15S-FQ2163NS Intel Core i3-1115G4/8GB/512GB SSD/15.6""",HP,549.0,Doctor,0.05006892661545855
"ASUS VivoBook 15 F515JA-EJ4134 Intel Core i7-1065G7/8GB/512GB SSD/15.6""",Asus,769.0,Marketing,0.08172624478013993
"MSI GF63 Thin 11UC-446XES Intel Core i7-11800H/16GB/512GB SSD/RTX 3050/15.6""",MSI,999.0,"Healthcare, Engineer",0.11482253195230682
"MSI Cyborg 15 A12VF-098XES Intel Core i5-12450H/16GB/1TB SSD/RTX 4060/15.6""",MSI,1249.0,Marketing,0.15079675713944474
"ASUS M515UA-EJ486W AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",Asus,789.0,"Lawyer, Artist",0.08460418279511096
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",Lenovo,729.0,Doctor,0.07597036875019786
"ASUS TUF Gaming F15 FX506HC-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 3050/15.6""",Asus,1099.0,"Doctor, Lawyer",0.12921222202716198
"Acer Aspire 3 A315-59-37GX Intel Core i3-1215U/8GB/256GB SSD/15.6""",Acer,539.01,Doctor,0.04863139657698052
"ASUS TUF Gaming F15 FX507ZC4-HN002 Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/15.6""",Asus,1179.0,"Doctor, Homemaker",0.14072397408704612
"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/14""",Alurin,239.0,"Marketing, Entertainment",0.005460887383407534
"HP Victus 15-fa0012ns Intel Core i5-12500H/16GB/512GB SSD/RTX 3050/15.6""",HP,999.0,Engineer,0.11482253195230682
"HP Pavilion 15-eh1004ns AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",HP,799.0,"Entertainment, Doctor",0.08604315180259649
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/8GB/512GB SSD/15.6""",Lenovo,519.01,"Doctor, Healthcare",0.04575345856200949
"HP 15S-FQ5028NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",HP,789.0,Entertainment,0.08460418279511096
"MSI Katana 15 B12VFK-095XES Intel Core i7-12650H/16GB/512GB SSD/RTX 4060/15.6""",MSI,1549.0,Healthcare,0.19396582736401025
"ASUS VivoBook F1500EA-EJ2384W Intel Core i3-1115G4/8GB/256GB SSD/15.6""",Asus,539.01,Engineer,0.04863139657698052
"HP 15S-fq2159ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",HP,539.0,"Homemaker, Artist",0.048629957607973034
